epoch 12 / 48,             	step 1700 / 1875,             	loss = 0.1544
epoch 12 / 48,             	step 1800 / 1875,             	loss = 0.2237
epoch 13 / 48,             	step 100 / 1875,             	loss = 0.1434
epoch 13 / 48,             	step 200 / 1875,             	loss = 0.0957
epoch 13 / 48,             	step 300 / 1875,             	loss = 0.0899
epoch 13 / 48,             	step 400 / 1875,             	loss = 0.1248
epoch 13 / 48,             	step 500 / 1875,             	loss = 0.0638
epoch 13 / 48,             	step 600 / 1875,             	loss = 0.0520
epoch 13 / 48,             	step 700 / 1875,             	loss = 0.0745
epoch 13 / 48,             	step 800 / 1875,             	loss = 0.0903
epoch 13 / 48,             	step 900 / 1875,             	loss = 0.1357
epoch 13 / 48,             	step 1000 / 1875,             	loss = 0.1508
epoch 13 / 48,             	step 1100 / 1875,             	loss = 0.0857
epoch 13 / 48,             	step 1200 / 1875,             	loss = 0.0930
epoch 13 / 48,             	step 1300 / 1875,             	loss = 0.0952
epoch 13 / 48,             	step 1400 / 1875,             	loss = 0.0478
epoch 13 / 48,             	step 1500 / 1875,             	loss = 0.1364
epoch 13 / 48,             	step 1600 / 1875,             	loss = 0.1894
epoch 13 / 48,             	step 1700 / 1875,             	loss = 0.1938
epoch 13 / 48,             	step 1800 / 1875,             	loss = 0.3115
epoch 14 / 48,             	step 100 / 1875,             	loss = 0.0277
epoch 14 / 48,             	step 200 / 1875,             	loss = 0.1934
epoch 14 / 48,             	step 300 / 1875,             	loss = 0.1310
epoch 14 / 48,             	step 400 / 1875,             	loss = 0.5820
epoch 14 / 48,             	step 500 / 1875,             	loss = 0.0305
epoch 14 / 48,             	step 600 / 1875,             	loss = 0.1627
epoch 14 / 48,             	step 700 / 1875,             	loss = 0.1028
epoch 14 / 48,             	step 800 / 1875,             	loss = 0.1284
epoch 14 / 48,             	step 900 / 1875,             	loss = 0.0146
epoch 14 / 48,             	step 1000 / 1875,             	loss = 0.1053
epoch 14 / 48,             	step 1100 / 1875,             	loss = 0.0766
epoch 14 / 48,             	step 1200 / 1875,             	loss = 0.1228
epoch 14 / 48,             	step 1300 / 1875,             	loss = 0.1670
epoch 14 / 48,             	step 1400 / 1875,             	loss = 0.0618
epoch 14 / 48,             	step 1500 / 1875,             	loss = 0.1250
epoch 14 / 48,             	step 1600 / 1875,             	loss = 0.2862
epoch 14 / 48,             	step 1700 / 1875,             	loss = 0.0959
epoch 14 / 48,             	step 1800 / 1875,             	loss = 0.1243
epoch 15 / 48,             	step 100 / 1875,             	loss = 0.0323
epoch 15 / 48,             	step 200 / 1875,             	loss = 0.0182
epoch 15 / 48,             	step 300 / 1875,             	loss = 0.0386
epoch 15 / 48,             	step 400 / 1875,             	loss = 0.1427
epoch 15 / 48,             	step 500 / 1875,             	loss = 0.1456
epoch 15 / 48,             	step 600 / 1875,             	loss = 0.1942
epoch 15 / 48,             	step 700 / 1875,             	loss = 0.0406
epoch 15 / 48,             	step 800 / 1875,             	loss = 0.1652
epoch 15 / 48,             	step 900 / 1875,             	loss = 0.1411
epoch 15 / 48,             	step 1000 / 1875,             	loss = 0.2351
epoch 15 / 48,             	step 1100 / 1875,             	loss = 0.0425
epoch 15 / 48,             	step 1200 / 1875,             	loss = 0.0678
epoch 15 / 48,             	step 1300 / 1875,             	loss = 0.1620
epoch 15 / 48,             	step 1400 / 1875,             	loss = 0.0900
epoch 15 / 48,             	step 1500 / 1875,             	loss = 0.0687
epoch 15 / 48,             	step 1600 / 1875,             	loss = 0.1775
epoch 15 / 48,             	step 1700 / 1875,             	loss = 0.0447
epoch 15 / 48,             	step 1800 / 1875,             	loss = 0.1674
epoch 16 / 48,             	step 100 / 1875,             	loss = 0.1066
epoch 16 / 48,             	step 200 / 1875,             	loss = 0.0383
epoch 16 / 48,             	step 300 / 1875,             	loss = 0.0372
epoch 16 / 48,             	step 400 / 1875,             	loss = 0.1217
epoch 16 / 48,             	step 500 / 1875,             	loss = 0.1028
epoch 16 / 48,             	step 600 / 1875,             	loss = 0.0796
epoch 16 / 48,             	step 700 / 1875,             	loss = 0.0271
epoch 16 / 48,             	step 800 / 1875,             	loss = 0.0965
epoch 16 / 48,             	step 900 / 1875,             	loss = 0.0618
epoch 16 / 48,             	step 1000 / 1875,             	loss = 0.2041
epoch 16 / 48,             	step 1100 / 1875,             	loss = 0.2116
epoch 16 / 48,             	step 1200 / 1875,             	loss = 0.2051
epoch 16 / 48,             	step 1300 / 1875,             	loss = 0.1470
epoch 16 / 48,             	step 1400 / 1875,             	loss = 0.3360
epoch 16 / 48,             	step 1500 / 1875,             	loss = 0.0243
epoch 16 / 48,             	step 1600 / 1875,             	loss = 0.1954
epoch 16 / 48,             	step 1700 / 1875,             	loss = 0.1651
epoch 16 / 48,             	step 1800 / 1875,             	loss = 0.1287
epoch 17 / 48,             	step 100 / 1875,             	loss = 0.0842
epoch 17 / 48,             	step 200 / 1875,             	loss = 0.2047
epoch 17 / 48,             	step 300 / 1875,             	loss = 0.1586
epoch 17 / 48,             	step 400 / 1875,             	loss = 0.2052
epoch 17 / 48,             	step 500 / 1875,             	loss = 0.0506
epoch 17 / 48,             	step 600 / 1875,             	loss = 0.1899
epoch 17 / 48,             	step 700 / 1875,             	loss = 0.1670
epoch 17 / 48,             	step 800 / 1875,             	loss = 0.2636
epoch 17 / 48,             	step 900 / 1875,             	loss = 0.2268
epoch 17 / 48,             	step 1000 / 1875,             	loss = 0.1790
epoch 17 / 48,             	step 1100 / 1875,             	loss = 0.2521
epoch 17 / 48,             	step 1200 / 1875,             	loss = 0.0773
epoch 17 / 48,             	step 1300 / 1875,             	loss = 0.0176
epoch 17 / 48,             	step 1400 / 1875,             	loss = 0.0742
epoch 17 / 48,             	step 1500 / 1875,             	loss = 0.0169
epoch 17 / 48,             	step 1600 / 1875,             	loss = 0.0280
epoch 17 / 48,             	step 1700 / 1875,             	loss = 0.1142
epoch 17 / 48,             	step 1800 / 1875,             	loss = 0.0948
epoch 18 / 48,             	step 100 / 1875,             	loss = 0.0834
epoch 18 / 48,             	step 200 / 1875,             	loss = 0.0273
epoch 18 / 48,             	step 300 / 1875,             	loss = 0.1409
epoch 18 / 48,             	step 400 / 1875,             	loss = 0.0748
epoch 18 / 48,             	step 500 / 1875,             	loss = 0.0381
epoch 18 / 48,             	step 600 / 1875,             	loss = 0.3848
epoch 18 / 48,             	step 700 / 1875,             	loss = 0.0192
epoch 18 / 48,             	step 800 / 1875,             	loss = 0.0349
epoch 18 / 48,             	step 900 / 1875,             	loss = 0.1010
epoch 18 / 48,             	step 1000 / 1875,             	loss = 0.2166
epoch 18 / 48,             	step 1100 / 1875,             	loss = 0.2145
epoch 18 / 48,             	step 1200 / 1875,             	loss = 0.0486
epoch 18 / 48,             	step 1300 / 1875,             	loss = 0.1137
epoch 18 / 48,             	step 1400 / 1875,             	loss = 0.1288
epoch 18 / 48,             	step 1500 / 1875,             	loss = 0.1094
epoch 18 / 48,             	step 1600 / 1875,             	loss = 0.1282
epoch 18 / 48,             	step 1700 / 1875,             	loss = 0.1477
epoch 18 / 48,             	step 1800 / 1875,             	loss = 0.1245
epoch 19 / 48,             	step 100 / 1875,             	loss = 0.0767
epoch 19 / 48,             	step 200 / 1875,             	loss = 0.1999
epoch 19 / 48,             	step 300 / 1875,             	loss = 0.1478
epoch 19 / 48,             	step 400 / 1875,             	loss = 0.1059
epoch 19 / 48,             	step 500 / 1875,             	loss = 0.5002
epoch 19 / 48,             	step 600 / 1875,             	loss = 0.1555
epoch 19 / 48,             	step 700 / 1875,             	loss = 0.2108
epoch 19 / 48,             	step 800 / 1875,             	loss = 0.0416
epoch 19 / 48,             	step 900 / 1875,             	loss = 0.0415
epoch 19 / 48,             	step 1000 / 1875,             	loss = 0.0815
epoch 19 / 48,             	step 1100 / 1875,             	loss = 0.0288
